No,cell_line,position,cell_label,lnCFP,int_ratio mean,int_ratio std,int_ratio CV,int_diff mean,int_diff std,int_diff CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum,BMP(ng/ml)
5,14,6,10,7.905441483924546,1.0474819145144174,0.06332404151842436,5.2354344132689254,0.6831860974719075,0.9344376753661559,118.4518783556838,6.703143020941169,2.6124056130332765,33.751474775458675,4,64
5,14,6,11,8.196796453468044,0.9930878487449374,0.08626048072000977,7.092160846201177,-0.18232190509830196,1.3880546253787367,-621.6158476139187,4.768667711390354,2.345670778974149,40.1628355534142,3,64
5,14,6,12,9.08473847137589,1.3897531974553552,0.19610166868203516,12.220085344226552,4.117113880411065,1.5406032399086063,32.40623363034725,11.91312604666977,0.1552081003508849,1.1282862050684457,4,64
5,14,6,13,8.514632512101246,1.0429395567017852,0.18304678367199906,15.199650231150773,0.3027712067582278,2.6004536876238933,743.8154304565538,6.210971823473523,4.605429601567256,64.21569995253242,4,64
5,14,6,15,8.659875431005743,1.1152583285224842,0.09639207906639406,7.4850809951528205,1.455636559965737,1.1442004906498293,68.07377055359858,8.453597374687096,3.2158776335585055,32.94492986457065,4,64
5,14,6,16,8.268136648445896,1.0218496706541924,0.03367566054887829,2.690812796469245,0.3602310480311129,0.5576644527180394,126.39974300879366,5.629572081313377,1.1681967786242202,16.94318256912578,3,64
5,14,6,17,9.054518509222325,1.053441421664436,,0.0,0.730868477104624,,0.0,6.371374939717498,,0.0,1,64
5,14,6,18,8.517458968344753,0.9514399093805574,0.11421895394679187,10.396506887755736,-0.7091176761972687,1.6053813330492073,-196.06069117295186,3.8490387342763657,3.186683813855046,71.69969769467633,4,64
5,14,6,19,8.189126844971879,1.0515742634603924,0.1163922424570271,9.899860627289023,0.7621473027665242,1.604562810252774,188.30541050894033,6.901963494515381,3.7517382601205966,48.6188707899301,5,64
5,14,6,20,8.515627008160187,1.0966044701178403,0.17710229633959645,13.186469996806641,1.1145370348784056,2.3069999311188276,169.00807214221703,7.556739454546116,5.173584399058718,55.89995524367577,3,64
5,14,6,21,8.211585766985861,1.072089444391642,0.21238881818454533,14.00830633788297,0.8409507533451317,2.9511230912896353,248.14284804031658,6.4964215583386515,5.733065034842795,62.40187966123221,2,64
5,14,6,22,8.130548547803738,1.0644804149781009,0.16874062756431676,14.17839195501025,0.6491050831207396,1.9419665164501192,267.59113454689793,5.902329122265305,3.743785884299187,56.73258510046778,5,64
5,14,6,24,8.882154405537744,1.1904839359439177,0.10410382807410347,7.821465851433798,2.2968332777209404,1.2806832432025883,49.87205326957675,9.979778375069918,2.4516644399880314,21.97278592689705,5,64
5,14,6,25,8.740803450989944,1.0656305764977556,0.10409295548439078,9.043598462509156,0.8553375882750325,1.5339543631054586,166.03570344206412,7.247740932883777,3.2643929167700736,41.69907015010224,7,64
5,14,6,26,8.86280429122387,1.1416260952271042,0.12087123214557631,9.169163009012317,1.719630855805356,1.5343078517240154,77.26946584687973,8.887735825284782,3.8338801960090145,37.35751950867061,4,64
5,14,6,27,8.156260129239188,1.1494306586691956,0.1463609866255553,11.788787972418133,1.8731213411236394,1.5919268378337892,78.68352313736185,8.552459666291073,2.945326807599631,31.883725445936008,7,64
5,14,6,28,8.522869214250878,0.9674079755966712,0.11812126531382737,10.92102548222634,-0.6565232456899988,1.7893316286267937,-243.77306864099478,4.155532218457763,3.223767623522482,69.38763239847553,5,64
5,14,6,29,8.498150631893484,1.0832491274552918,0.04870779125864907,3.6713387547934864,1.1828947242733905,0.6187963766498452,42.71260285951633,8.255196267594668,1.7626613187370823,17.433951821738198,3,64
5,14,6,31,8.803487502543996,1.1881832197415478,0.19600836974282493,13.469316942806667,2.2080903821191433,2.110334758660562,78.03489970395214,8.334947378116476,5.0030049551180165,49.00974481186757,3,64
5,14,6,32,8.333980225950729,0.948447471435881,0.1614537584416706,14.742308937286847,-0.8981092338484427,2.734912524016976,-263.72111917586733,4.76922441870106,3.198187013698376,58.07466700572331,4,64
