No,cell_line,position,cell_label,lnCFP,int_ratio mean,int_ratio std,int_ratio CV,int_diff mean,int_diff std,int_diff CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum,CHIR(uM)
6,10,2,45,8.482842328,0.543330873,0.040310607,6.425184211,-7.459225857,0.878438055,-10.19877512,0.289061636,0.184659967,55.32391802,4,3
6,10,2,46,8.143896056,0.575054609,0.033505571,5.318844761,-6.774059179,0.558054059,-7.520325913,0.378295091,0.082707654,19.95833802,6,3
6,10,2,47,6.69212038,0.589069437,0.028669419,4.442851267,-6.228038615,0.800523944,-11.73363047,0.515086392,0.226730178,40.18265504,6,3
6,10,2,48,8.565967105,0.594115926,0.038547352,5.803210903,-6.706762814,0.722457277,-9.634833537,0.236577894,0.164652789,62.25008161,5,3
6,10,2,49,8.149170465,0.625363846,0.056393396,7.809551833,-5.620265961,1.621678968,-24.98841146,0.480497199,0.450218627,81.14527381,4,3
6,10,2,50,7.274478998,0.588716656,0.023348908,3.547359783,-6.789630055,0.786312013,-10.35842659,0.248227934,0.181591998,65.43212833,5,3
6,10,2,51,8.111586838,0.592120271,0.026745817,4.181889413,-6.557682455,0.602635076,-8.508061656,0.276709104,0.172782425,57.809967,7,3
6,10,2,52,8.2236793,0.581159553,0.013514776,1.898750219,-6.708870479,0.169036018,-2.057236482,0.333297457,0.10576556,25.90995421,3,3
6,10,2,53,7.092299984,0.91552759,0.282388888,21.81027638,-1.32804851,4.062807746,-216.3203291,4.751672277,6.093537758,90.67927287,2,3
6,10,2,54,6.77254465,0.570714479,0.031148129,4.726543997,-7.179068574,0.479811149,-5.788057875,0.214869695,0.071781446,28.93128128,4,3
6,10,2,55,8.902180713,0.635637023,0.058942041,8.030574528,-5.914168133,1.172675383,-17.17175855,0.360718633,0.215919481,51.83867394,4,3
6,10,2,56,7.228779413,0.595459692,0.050552464,6.003091491,-6.210979004,0.164099604,-1.868239171,0.289346719,0.21376618,52.24027269,2,3
