cell_line,position,cell_label,Dox (ng/ml ),BMP2 (ng/ml ),CFP_intensity,lnCFP,stimulation time (Days),int_ratio mean,int_ratio std,int_ratio CV,mout avg mean,mout avg std,mout avg CV,barcode_number sum
12,3,23,500,256,3319.6758113081296,8.10762240994639,5,1.2026346890698605,0.03685291825815827,2.1668216162142935,10.82730627764387,1.5647816595556985,10.219233613376199,2
12,3,24,500,256,9014.963518922854,9.106641088920728,5,1.2699795155411484,0.045098309928625034,2.899465338750038,11.984418958516637,0.010597927693777038,0.07220351488745823,3
12,3,25,500,256,4201.130631345178,8.343108965983523,5,0.8692348495968248,,0.0,0.4725900253752115,,0.0,1
12,3,27,500,256,10241.380501392758,9.234191704095965,5,1.2992544891964677,,0.0,11.99009715823736,,0.0,1
12,3,28,500,256,3937.384192645883,8.278271871309844,5,1.0844994402257557,0.01694242561764227,1.1046666876554294,6.916397153414522,0.4352315289643088,4.449645656408234,2
12,3,29,500,256,3910.71776980763,8.271476208972805,5,1.1689827631550724,0.1414639175131301,9.880796245649194,9.78649434197236,3.803344011511779,31.73166276889143,3
12,3,30,500,256,12171.455597280015,9.406848784193432,5,1.237436898155401,0.10705777375274472,6.117586917938683,10.83026690831548,1.6278034132182833,10.627908265506308,2
12,3,31,500,256,3470.1973684210525,8.151966749830892,5,1.2179003787408915,,0.0,11.965475242218416,,0.0,1
12,3,32,500,256,8436.853655981564,9.04036472851105,5,1.134525232706596,0.11868612805533572,7.397258655983255,9.330025726455599,3.732265516854942,28.28620556397352,2
12,3,33,500,256,4073.542594241615,8.312268316119647,5,1.1353045861452762,0.09795764389890296,6.101139299115614,9.27654222520519,3.3680744213861975,25.67323260203732,2
12,3,34,500,256,4277.585760802605,8.361144054847095,5,1.1000843505506712,0.015466236240180448,0.9941310881652242,7.66711143352677,0.18236564596450477,1.68188484065961,2
12,3,35,500,256,11188.996694524136,9.322686136385755,5,1.2118521953973196,0.014609252647560142,0.8524390725529402,11.910389999047254,0.011137571386521508,0.06612253884204125,2
12,3,36,500,256,7236.576495500265,8.886903513808809,5,1.2866516666807324,,0.0,11.986298009986626,,0.0,1
12,3,37,500,256,3964.4972946384655,8.285134340315567,5,1.152580360856325,,0.0,9.537752266961434,,0.0,1
12,3,38,500,256,3579.1079073831365,8.182868860460482,5,1.3128985608957997,,0.0,11.993276397542594,,0.0,1
12,3,39,500,256,4113.382300520976,8.32200091322308,5,0.933689488230204,0.10091883796311732,7.642840106130924,2.476397876105196,2.166145117221267,61.85176930575842,2
12,3,40,500,256,4391.6072878066,8.387450563846995,5,1.0876562844469846,,0.0,7.381066184188967,,0.0,1
12,3,41,500,256,6370.695652173913,8.75946395016612,5,1.1994307345061113,0.07601718130184357,5.174768899871145,11.052212773908257,1.6074543749135175,11.875278081984346,3
12,3,42,500,256,6776.696301226585,8.82124499097373,5,1.0814564743890775,0.048321271267597984,3.159470528684493,7.377609394092644,2.4388535440942083,23.375185473098025,2
12,3,43,500,256,6638.1563623908205,8.800589547650398,5,1.2262469118930743,0.017314905157260325,0.9984520029003997,11.958742463125162,0.009050386004352949,0.05351389860402558,2
12,3,44,500,256,3826.509606944309,8.249708336881689,5,1.0514285870134832,,0.0,6.50066835788533,,0.0,1
12,3,45,500,256,21043.246905414344,9.954334975544988,5,1.3136812812423655,,0.0,11.981127846889194,,0.0,1
12,3,46,500,256,5083.178991905813,8.53369213065847,5,1.28138826937429,,0.0,11.974922197443448,,0.0,1
12,3,47,500,256,3590.203218020917,8.185964086571289,5,1.251748575197934,0.09887669608462508,7.065157275720421,11.246428931006413,1.5169005850557327,12.063892793355478,5
12,3,48,500,256,7061.01765514325,8.862344463887565,5,1.21265333138532,,0.0,9.901780017061864,,0.0,1
12,3,49,500,256,4868.616899051868,8.490565171438313,5,1.0995569051118537,0.13820853134882083,10.885484744933777,7.674672130243396,3.9983645440969418,45.11834785923449,4
12,3,51,500,256,5725.691621851118,8.652718628436064,5,1.2355557065996674,0.055515160646122996,3.891167282698186,11.534813912324651,0.8236597847854208,6.1839775060232585,4
12,3,52,500,256,4792.743702302965,8.474858324394384,5,1.1048442314495943,0.125751044170372,9.293192170491452,8.261229942846773,4.376082896966815,43.25090510673338,3
12,3,53,500,256,5539.003601008282,8.619569908151737,5,1.2265115509256923,,0.0,11.702895340703094,,0.0,1
12,3,54,500,256,4840.488289290682,8.484770880839088,5,1.179313322628942,0.04805964710292762,3.3274056001214287,9.906854669231654,0.4983974316644314,4.107658913792549,3
12,3,55,500,256,5466.347830110114,8.606365999682938,5,0.9953104866333808,0.13420277734173228,9.534280527214188,4.9857454947500255,4.279153390927314,60.68938704649667,2
12,3,56,500,256,2870.0401618029478,7.96208130231532,5,1.04229794486573,0.14519057618491307,9.849893832224678,6.216527804539343,5.381491572455676,61.212453373135766,2
12,3,57,500,256,7657.76477670753,8.943475415544016,5,1.089675334713336,0.00625749898767943,0.4060585595084709,8.058106589177836,0.14533325899362617,1.2753136463142645,2
12,3,58,500,256,2986.2366757772465,8.001769236772299,5,1.2297085796232368,0.0544398110154549,3.1303969227681936,10.895801755088208,1.5443502605380857,10.022397307694508,2
12,3,59,500,256,7767.629800968262,8.957720351905598,5,1.039745445947234,0.06185627066485537,4.206701613026296,5.815134589895905,3.0719774213186373,37.35452778755473,2
12,3,60,500,256,4331.621363092866,8.373697199659336,5,1.232336120067602,0.029537693688770544,1.6948544449703369,11.377756345104387,0.8538962619857383,5.306809347694993,2
12,3,62,500,256,5505.987004754358,8.613591325502593,5,1.1029909384586103,,0.0,8.334668343887643,,0.0,1
12,3,63,500,256,1689.988041754757,7.432476732007326,5,0.981139204858038,0.14272862110894566,12.598274650064115,3.8646189505053945,5.138240644333504,115.14322591024427,4
12,3,64,500,256,4280.352425831287,8.361790627669832,5,1.1122728663957757,0.08492816146944995,6.2344012480485596,8.977052331872672,2.6006266312117345,23.653674660165603,3
12,3,65,500,256,3013.0563982490075,8.010710257258802,5,1.1558422574895726,0.03197072040959957,1.9558649162168187,10.050646871810557,0.21842555606639924,1.5367189181841205,2
12,3,66,500,256,10262.219763531835,9.236224446545636,5,1.188094053304511,0.13717741588736407,8.164259448131522,10.344098146008179,2.325856807036614,15.899202589827988,2
